journal_name,jif,jif_5yr,jif_quartile,category,issn,eissn
Nature Reviews Psychology,21.8,21.8,Q1,"PSYCHOLOGY, MULTIDISCIPLINARY|Q1|4/218",N/A,2731-0574
Advanced Composites and Hybrid Materials,21.8,16.8,Q1,NANOSCIENCE & NANOTECHNOLOGY|Q1|5/140,2522-0128,2522-0136
DRUG RESISTANCE UPDATES,21.7,23.0,Q1,PHARMACOLOGY & PHARMACY|Q1|3/354,1368-7646,1532-2084
Lancet Planetary Health,21.6,27.1,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|4/403",N/A,2542-5196
JAMA Neurology,21.3,22.4,Q1,CLINICAL NEUROLOGY|Q1|3/277,2168-6149,2168-6157
Advanced Fiber Materials,21.3,18.3,Q1,"MATERIALS SCIENCE, TEXTILES|Q1|1/29",2524-7921,2524-793X
SusMat,21.3,21.7,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|20/438",2766-8479,2692-4552
International Journal of Extreme Manufacturing,21.3,18.5,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|26/438",2631-8644,2631-7990
INTENSIVE CARE MEDICINE,21.2,25.7,Q1,CRITICAL CARE MEDICINE|Q1|2/54,0342-4642,1432-1238
Science Bulletin,21.1,17.6,Q1,MULTIDISCIPLINARY SCIENCES|Q1|6/134,2095-9273,2095-9281
Applied Catalysis B-Environment and Energy,21.1,20.2,Q1,"ENGINEERING, ENVIRONMENTAL|Q1|1/81",0926-3373,1873-3883
EUROPEAN RESPIRATORY JOURNAL,21.0,18.9,Q1,RESPIRATORY SYSTEM|Q1|4/100,0903-1936,1399-3003
AMERICAN JOURNAL OF BIOETHICS,20.8,14.7,Q1,"SOCIAL SCIENCES, BIOMEDICAL|Q1|1/46",1526-5161,1536-0075
Nature Metabolism,20.8,23.2,Q1,ENDOCRINOLOGY & METABOLISM|Q1|5/186,N/A,2522-5812
Journal of Thoracic Oncology,20.8,18.4,Q1,RESPIRATORY SYSTEM|Q1|2/100,1556-0864,1556-1380
TRENDS IN PLANT SCIENCE,20.8,21.3,Q1,PLANT SCIENCES|Q1|2/265,1360-1385,1878-4372
Annual Review of Public Health,20.7,28.4,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|5/403",0163-7525,1545-2093
REPORTS ON PROGRESS IN PHYSICS,20.7,20.9,Q1,"PHYSICS, MULTIDISCIPLINARY|Q1|4/110",0034-4885,1361-6633
ANNALS OF THE RHEUMATIC DISEASES,20.6,18.6,Q1,RHEUMATOLOGY|Q1|2/57,0003-4967,1468-2060
Annual Review of Biochemistry,20.5,24.9,Q1,BIOCHEMISTRY & MOLECULAR BIOLOGY|Q1|14/313,0066-4154,1545-4509
Cell Stem Cell,20.4,21.8,Q1,CELL BIOLOGY|Q1|8/205,1934-5909,1875-9777
Lancet Microbe,20.4,19.8,Q1,MICROBIOLOGY|Q1|3/161,N/A,2666-5247
Environmental Chemistry Letters,20.4,18.9,Q1,ENVIRONMENTAL SCIENCES|Q1|8/358,1610-3653,1610-3661
Bioactive Materials,20.3,20.5,Q1,"MATERIALS SCIENCE, BIOMATERIALS|Q1|1/53",N/A,2452-199X
Nature Chemistry,20.2,22.6,Q1,"CHEMISTRY, MULTIDISCIPLINARY|Q1|7/230",1755-4330,1755-4349
Energy Storage Materials,20.2,20.2,Q1,NANOSCIENCE & NANOTECHNOLOGY|Q1|8/140,2405-8297,2405-8289
JAMA Oncology,20.1,24.7,Q1,ONCOLOGY|Q1|12/322,2374-2437,2374-2445
NATURE NEUROSCIENCE,20.0,24.8,Q1,NEUROSCIENCES|Q1|4/310,1097-6256,1546-1726
Nature Synthesis,20.0,20.0,Q1,"CHEMISTRY, MULTIDISCIPLINARY|N/A|N/A",N/A,2731-0582
TRENDS IN PHARMACOLOGICAL SCIENCES,19.9,16.8,Q1,PHARMACOLOGY & PHARMACY|Q1|6/354,0165-6147,1873-3735
PSYCHOLOGICAL BULLETIN,19.8,28.5,Q1,"PSYCHOLOGY, MULTIDISCIPLINARY|Q1|3/218",0033-2909,1939-1455
Cellular & Molecular Immunology,19.8,22.6,Q1,IMMUNOLOGY|Q1|5/181,1672-7681,2042-0226
Chem,19.6,23.4,Q1,"CHEMISTRY, MULTIDISCIPLINARY|Q1|8/230",2451-9294,2451-9294
Nature Microbiology,19.4,20.7,Q1,MICROBIOLOGY|Q1|5/161,2058-5276,2058-5276
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,19.4,20.0,Q1,RESPIRATORY SYSTEM|Q1|3/100,1073-449X,1535-4970
Nature Aging,19.4,21.9,Q1,NEUROSCIENCES|Q1|5/310,N/A,2662-8465
ADVANCES IN COLLOID AND INTERFACE SCIENCE,19.3,19.5,Q1,"CHEMISTRY, PHYSICAL|Q1|13/178",0001-8686,1873-3727
CLINICAL MICROBIOLOGY REVIEWS,19.3,33.3,Q1,MICROBIOLOGY|Q1|6/161,0893-8512,1098-6618
IEEE-CAA Journal of Automatica Sinica,19.2,13.1,Q1,AUTOMATION & CONTROL SYSTEMS|Q1|1/84,2329-9266,2329-9274
PhotoniX,19.1,19.3,Q1,OPTICS|Q1|6/119,N/A,2662-1991
NATURE CELL BIOLOGY,19.1,22.6,Q1,CELL BIOLOGY|Q1|9/205,1465-7392,1476-4679
Annual Review of Physiology,19.1,24.9,Q1,PHYSIOLOGY|Q1|2/85,0066-4278,1545-1585
ADVANCED FUNCTIONAL MATERIALS,19.0,19.4,Q1,"PHYSICS, CONDENSED MATTER|Q1|5/79",1616-301X,1616-3028
Annual Review of Marine Science,18.9,18.9,Q1,OCEANOGRAPHY|Q1|1/65,1941-1405,1941-0611
Advanced Photonics,18.8,17.0,Q1,OPTICS|Q1|4/119,N/A,2577-5421
INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,18.8,15.8,Q1,"ENGINEERING, MECHANICAL|Q1|2/180",0890-6955,1879-2170
Cell Host & Microbe,18.7,20.5,Q1,VIROLOGY|Q1|1/41,1931-3128,1934-6069
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,18.6,20.4,Q1,"ENGINEERING, ELECTRICAL & ELECTRONIC|Q1|3/352",0162-8828,1939-3539
Nature Physics,18.4,21.2,Q1,"PHYSICS, MULTIDISCIPLINARY|Q1|5/110",1745-2473,1745-2481
Computational Visual Media,18.3,12.9,Q1,"COMPUTER SCIENCE, SOFTWARE ENGINEERING|Q1|1/131",2096-0433,2096-0662
Nature Computational Science,18.3,17.6,Q1,MULTIDISCIPLINARY SCIENCES|Q1|9/134,N/A,2662-8457
ACS Energy Letters,18.2,20.5,Q1,NANOSCIENCE & NANOTECHNOLOGY|Q1|7/140,2380-8195,2380-8195
Cyborg and Bionic Systems,18.1,14.9,Q1,ROBOTICS|Q1|3/46,N/A,2692-7632
TRENDS IN CELL BIOLOGY,18.1,20.1,Q1,CELL BIOLOGY|Q1|17/205,0962-8924,1879-3088
JAMA Pediatrics,18.0,19.5,Q1,PEDIATRICS|Q1|1/186,2168-6203,2168-6211
Lancet Global Health,18.0,23.5,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|6/403",2214-109X,2214-109X
Nano Materials Science,17.9,15.8,Q1,NANOSCIENCE & NANOTECHNOLOGY|Q1|17/140,2096-6482,2589-9651
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,17.9,14.1,Q1,"PHYSICS, PARTICLES & FIELDS|Q1|2/30",0146-6410,1873-2224
Lancet Haematology,17.7,16.7,Q1,HEMATOLOGY|Q1|4/97,2352-3026,N/A
Chinese Journal of Catalysis,17.7,13.6,Q1,"ENGINEERING, CHEMICAL|Q1|5/170",0253-9837,1872-2067
ACCOUNTS OF CHEMICAL RESEARCH,17.7,19.9,Q1,"CHEMISTRY, MULTIDISCIPLINARY|Q1|12/230",0001-4842,1520-4898
Psychological Science in the Public Interest,17.6,41.8,Q1,"PSYCHOLOGY, MULTIDISCIPLINARY|Q1|2/218",1529-1006,1539-6053
ADVANCED DRUG DELIVERY REVIEWS,17.6,19.2,Q1,PHARMACOLOGY & PHARMACY|Q1|4/354,0169-409X,1872-8294
Eco-Environment & Health,17.6,17.6,Q1,,N/A,2772-9850
Molecular Neurodegeneration,17.5,19.3,Q1,NEUROSCIENCES|Q1|8/310,N/A,1750-1326
Matter,17.5,19.2,Q1,"MATERIALS SCIENCE, MULTIDISCIPLINARY|Q1|22/438",2590-2393,2590-2385
Trends in Cancer,17.5,18.7,Q1,ONCOLOGY|Q1|17/322,2405-8033,2405-8025
PSYCHOTHERAPY AND PSYCHOSOMATICS,17.4,16.9,Q1,PSYCHOLOGY|Q1|4/92,0033-3190,1423-0348
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,17.3,14.1,Q1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q1|2/403",0149-2195,1545-861X
PHARMACOLOGICAL REVIEWS,17.3,21.8,Q1,PHARMACOLOGY & PHARMACY|Q1|2/354,0031-6997,1521-0081
TRENDS IN ECOLOGY & EVOLUTION,17.3,18.7,Q1,GENETICS & HEREDITY|Q1|3/191,0169-5347,1872-8383
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,17.2,17.4,Q1,TELECOMMUNICATIONS|Q1|2/119,0733-8716,1558-0008
TRENDS IN COGNITIVE SCIENCES,17.2,21.8,Q1,"PSYCHOLOGY, EXPERIMENTAL|Q1|2/99",1364-6613,1879-307X
STUDIES IN MYCOLOGY,17.1,22.2,Q1,MYCOLOGY|Q1|2/33,0166-0616,1872-9797
JAMA Psychiatry,17.1,21.8,Q1,PSYCHIATRY|Q1|3/276,2168-622X,2168-6238
National Science Review,17.1,17.7,Q1,MULTIDISCIPLINARY SCIENCES|Q1|7/134,2095-5138,2053-714X
Nano Energy,17.1,16.9,Q1,"PHYSICS, APPLIED|Q1|10/179",2211-2855,2211-3282
eTransportation,17.0,17.4,Q1,TRANSPORTATION SCIENCE & TECHNOLOGY|Q1|1/72,2590-1168,2590-1168
Clinical and Molecular Hepatology,16.9,12.0,Q1,GASTROENTEROLOGY & HEPATOLOGY|Q1|6/143,2287-2728,2287-285X
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,16.9,16.4,Q1,"CHEMISTRY, MULTIDISCIPLINARY|Q1|13/230",N/A,1521-3773
International Journal of Educational Technology in Higher Education,16.7,15.5,Q1,EDUCATION & EDUCATIONAL RESEARCH|Q1|4/756,2365-9440,2365-9440
Annual Review of Entomology,16.7,20.7,Q1,ENTOMOLOGY|Q1|1/109,0066-4170,1545-4487
DIABETES CARE,16.6,14.5,Q1,ENDOCRINOLOGY & METABOLISM|Q1|6/186,0149-5992,1935-5548
